tide_height,wind_speed,sea_temp,rainfall,mangrove_index,past_event,risk_level,region_name,timestamp___date,tide_zone
2,14,27.1,11.4,0.69,None,Safe,Tamil Nadu Coast,27-11-1999,Low Tide
1.68,27.4,26.6,45.3,0.63,Illegal dumping,Caution,Odisha Coast,10-05-1982,High Tide
1.79,19.3,26.8,16.4,0.73,Flooding,Dangerous,Kerala Coast,04-10-1994,Intertidal
1.78,44.8,21.1,0.5,0.81,Illegal dumping,Caution,Odisha Coast,26-09-2016,Offshore
1.41,18.2,29,27.7,0.54,None,Safe,Odisha Coast,19-03-1994,Low Tide
0.83,10.2,25.9,2.6,0.55,None,Safe,Mumbai Coast,03-10-2012,High Tide
1.6,1.2,24,34.3,0.82,Cyclone,Dangerous,Kerala Coast,23-11-2010,Intertidal
2.12,26.6,29.9,4,0.39,None,Safe,Kerala Coast,13-09-1995,Offshore
1.19,20.3,25.3,9.3,0.59,None,Safe,Kerala Coast,25-02-1997,Low Tide
2.01,9.9,27.2,31.5,1,Algal bloom,Caution,Odisha Coast,11-04-1981,High Tide
3.14,41.3,31.7,67.9,0.53,None,Safe,Tamil Nadu Coast,12-01-2017,Intertidal
2.61,35,24.5,10.2,0.91,None,Safe,Kerala Coast,13-02-1992,Offshore
2.99,26.7,24.2,38.9,0.59,None,Safe,West Bengal Coast,10-04-1995,Low Tide
2.23,43.4,28.7,4.7,0.79,Cyclone,Dangerous,Odisha Coast,28-06-2019,High Tide
2.7,35,30.9,36.2,0.82,Algal bloom,Caution,Mumbai Coast,10-11-2011,Intertidal
1.57,17.1,24.1,23.6,0.9,None,Safe,Tamil Nadu Coast,10-02-2011,Offshore
1.61,14.5,29,4.7,0.66,Cyclone,Dangerous,West Bengal Coast,03-06-2010,Low Tide
0.36,36.8,29.5,7.9,1,None,Safe,West Bengal Coast,14-10-2002,High Tide
2.71,31.8,22.9,3.1,0.59,Rising sea level,Caution,Mumbai Coast,12-08-1984,Intertidal
2.92,29,30,10.6,0.74,Rising sea level,Caution,Tamil Nadu Coast,08-02-1982,Offshore
1.67,16.8,30.2,5,0.74,Algal bloom,Caution,Odisha Coast,22-12-2008,Low Tide
1.85,34.3,27.2,22.7,0.5,None,Safe,Gujarat Coast,16-10-2017,High Tide
1.55,17.9,31.1,114.5,0.65,Cyclone,Dangerous,Tamil Nadu Coast,10-01-1999,Intertidal
2.23,25.8,30.8,0.3,0.73,Cyclone,Dangerous,Mumbai Coast,30-08-1986,Offshore
2.67,44.4,28.3,17.1,0.62,Illegal dumping,Caution,West Bengal Coast,17-07-1994,Low Tide
0.95,19.1,26.9,18.8,1,Illegal dumping,Caution,Odisha Coast,30-10-1993,High Tide
2.25,8.1,25.6,54,0.55,Erosion,Caution,Tamil Nadu Coast,30-07-1997,Intertidal
1.83,14.4,27.9,15.5,0.91,None,Safe,Gujarat Coast,30-03-1983,Offshore
2.07,38.9,29.4,17.3,0.85,Illegal dumping,Caution,Gujarat Coast,21-06-1992,Low Tide
2.28,30.1,27.2,14,0.7,Cyclone,Dangerous,Kerala Coast,08-04-1989,High Tide
1.89,25.5,22.5,6.9,0.54,Flooding,Dangerous,Kerala Coast,13-09-2013,Intertidal
1.94,20.9,31.2,1.3,0.56,None,Safe,Mumbai Coast,06-07-1997,Offshore
1.87,32.8,28.5,11.6,0.61,None,Safe,Tamil Nadu Coast,09-09-2015,Low Tide
2.58,16.8,27.1,1.2,0.38,None,Safe,Tamil Nadu Coast,19-05-2010,High Tide
2.25,30.7,30.1,17.6,0.52,None,Safe,West Bengal Coast,23-09-2003,Intertidal
2.13,18.2,31.8,8.1,0.43,None,Safe,West Bengal Coast,23-05-2005,Offshore
1.24,16.2,21,16.8,0.94,Erosion,Caution,West Bengal Coast,02-01-1987,Low Tide
1.77,19.4,29.1,3.2,0.81,None,Safe,Kerala Coast,28-06-2001,High Tide
2.54,22.5,24.4,59.3,0.84,None,Safe,Tamil Nadu Coast,09-08-1985,Intertidal
2.02,26.4,29.2,49.5,0.81,None,Safe,Tamil Nadu Coast,10-07-1987,Offshore
2.4,29.8,28.3,4.6,0.73,None,Safe,Gujarat Coast,05-02-2005,Low Tide
3.06,17.3,29.6,9.3,0.96,Illegal dumping,Caution,Kerala Coast,17-05-2007,High Tide
2.62,17.3,26.8,20.9,0.59,None,Safe,Odisha Coast,08-07-1980,Intertidal
2.06,22.3,23.3,2.2,0.72,None,Safe,Kerala Coast,27-06-1987,Offshore
1.69,45.1,26.9,9.6,0.83,Rising sea level,Caution,Odisha Coast,24-03-1988,Low Tide
0.47,14,29,6.4,0.46,Rising sea level,Caution,Gujarat Coast,02-10-1992,High Tide
1.9,29,30.5,54.4,1,None,Safe,Mumbai Coast,14-03-1985,Intertidal
1.8,44.9,25.1,42.1,0.71,Flooding,Dangerous,Tamil Nadu Coast,05-03-2001,Offshore
2.23,11.2,30.6,19.1,0.73,Algal bloom,Caution,Gujarat Coast,21-06-1983,Low Tide
1.91,31.7,26.4,16.2,0.93,Flooding,Dangerous,Tamil Nadu Coast,08-03-1984,High Tide
1.81,17.4,28.9,58.7,0.86,None,Safe,West Bengal Coast,13-03-2011,Intertidal
0.93,20.9,26.7,59.3,0.71,Illegal dumping,Caution,Mumbai Coast,26-09-1989,Offshore
1.44,17.4,28.5,76.7,0.72,None,Safe,Mumbai Coast,26-08-1990,Low Tide
2.29,18.2,30.2,2.9,0.43,None,Safe,Gujarat Coast,13-03-2004,High Tide
3.03,59.7,24.9,3.9,0.6,None,Caution,Mumbai Coast,22-04-2019,Intertidal
